team,team_gender,country,discipline
KRETSCHMER Peter / HECKER Tim,M,Germany,Canoe Sprint
ADOLF Balazs / HAJDU Jonatan Daniel,M,Hungary,Canoe Sprint
CASADEI Gabriele / TACCHINI Carlo,M,Italy,Canoe Sprint
YEMELYANOV Sergey / KHAIDAROV Timur,M,Kazakhstan,Canoe Sprint
BROWN Max / CLANCY Grant,M,New Zealand,Canoe Sprint
SPRINCEAN Ilie / NUTA Oleg,M,Romania,Canoe Sprint
van der WESTHUYZEN Jean / GREEN Tom,M,Australia,Canoe Sprint
POULIN Pierre-Luc / McTAVISH Simon,M,Canada,Canoe Sprint
BU Tingkai / ZHANG Dong,M,China,Canoe Sprint
SPICAR Jakub / HAVEL Daniel,M,Czechia,Canoe Sprint
AREVALO Carlos / GERMADE Rodrigo,M,Spain,Canoe Sprint
del RIO Adrian / COOPER Marcus,M,Spain,Canoe Sprint
SCHOPF Jacob / LEMKE Max,M,Germany,Canoe Sprint
RENDSCHMIDT Max / LIEBSCHER-LUCZ Tom,M,Germany,Canoe Sprint
NADAS Bence / TOTKA Sandor,M,Hungary,Canoe Sprint
KOPASZ Balint / VARGA Adam,M,Hungary,Canoe Sprint
RAMATULLA Bekarys / TOKARNYTSKYI Sergii,M,Kazakhstan,Canoe Sprint
MALDONIS Mindaugas / OLIJNIK Andrej,M,Lithuania,Canoe Sprint
LEGARTH Hamish / IMRIE Kurtis,M,New Zealand,Canoe Sprint
STEPUN Jakub / KORSAK Przemyslaw,M,Poland,Canoe Sprint
RIBEIRO Joao / BAPTISTA Messias,M,Portugal,Canoe Sprint
LOVEMORE Hamish / BIRKETT Andrew James,M,South Africa,Canoe Sprint
DZOMBETA Andjelo / TORUBAROV Vladimir,M,Serbia,Canoe Sprint
NOVAKOVIC Marko / DRAGOSAVLJEVIC Marko,M,Serbia,Canoe Sprint
KUKHARYK Oleh / TRUNOV Ihor,M,Ukraine,Canoe Sprint
ECKER Jonas / SMALL Aaron,M,United States,Canoe Sprint
Australia,M,Australia,Canoe Sprint
Canada,M,Canada,Canoe Sprint
People's Republic of China,M,China,Canoe Sprint
Denmark,M,Denmark,Canoe Sprint
Spain,M,Spain,Canoe Sprint
Germany,M,Germany,Canoe Sprint
Hungary,M,Hungary,Canoe Sprint
Lithuania,M,Lithuania,Canoe Sprint
New Zealand,M,New Zealand,Canoe Sprint
Serbia,M,Serbia,Canoe Sprint
Ukraine,M,Ukraine,Canoe Sprint
MACKENZIE Sloan / VINCENT Katie,W,Canada,Canoe Sprint
MAILLIARD Maria Jose / GOMEZ Paula,W,Chile,Canoe Sprint
XU Shixiao / SUN Mengya,W,China,Canoe Sprint
CIRILO DUBOYS Yarisleidis / LOPEZ LAMADRID Yinnoly Francheska,W,Cuba,Canoe Sprint
JACOME Antia / CORBERA Maria,W,Spain,Canoe Sprint
RENARD Axelle / DORANGE Eugenie,W,France,Canoe Sprint
JAHN Lisa / KLIEMKE Hedi Moana,W,Germany,Canoe Sprint
KISS Agnes Anna / NAGY Bianka,W,Hungary,Canoe Sprint
BROVKOVA Mariya / ISKAKOVA Rufina,W,Kazakhstan,Canoe Sprint
COCIU Daniela / OLARASU Maria,W,Republic of Moldova,Canoe Sprint
BELLO Ayomide Powei / OTUEDO Beauty Akinaere,W,Nigeria,Canoe Sprint
SZCZERBINSKA Sylwia / BOROWSKA Dorota,W,Poland,Canoe Sprint
LUZAN Liudmyla / RYBACHOK Anastasiia,W,Ukraine,Canoe Sprint
BEERE Ella / BULL Aly,W,Australia,Canoe Sprint
PETERS Hermien / BROEKX Lize,W,Belgium,Canoe Sprint
STOTT Courtney / DAVISON Natalie,W,Canada,Canoe Sprint
YU Shimeng / CHEN Yule,W,China,Canoe Sprint
JORGENSEN Emma Aastrand / MATTHIESEN Frederikke Hauge,W,Denmark,Canoe Sprint
GARCIA OTERO Carolina / OUZANDE Sara,W,Spain,Canoe Sprint
HOSTENS Manon / PAOLETTI Vanina,W,France,Canoe Sprint
PASZEK Paulina / HAKE Jule Marie,W,Germany,Canoe Sprint
ROEHLINGS Lena / JAGSCH Pauline,W,Germany,Canoe Sprint
CSIPES Tamara / GAZSO Alida Dora,W,Hungary,Canoe Sprint
PUPP Noemi / FOJT Sara,W,Hungary,Canoe Sprint
ALANIS MORALES Karina / BRIONES FRAGOZA Beatriz,W,Mexico,Canoe Sprint
KONIJN Selma / VORSSELMAN Ruth,W,Netherlands,Canoe Sprint
VIRIK Maria / SLETSJOEE Anna Margrete,W,Norway,Canoe Sprint
CARRINGTON Lisa / HOSKIN Alicia,W,New Zealand,Canoe Sprint
FISHER Aimee / MATEHAERE Lucy,W,New Zealand,Canoe Sprint
KLATT Martyna / WISNIEWSKA Helena,W,Poland,Canoe Sprint
NAJA Karolina / PULAWSKA Anna,W,Poland,Canoe Sprint
KOCH Tiffany Amber / OLIVIER Esti,W,South Africa,Canoe Sprint
STENSILS Linnea / WIKBERG Moa,W,Sweden,Canoe Sprint
Australia,W,Australia,Canoe Sprint
Canada,W,Canada,Canoe Sprint
People's Republic of China,W,China,Canoe Sprint
Spain,W,Spain,Canoe Sprint
Germany,W,Germany,Canoe Sprint
Hungary,W,Hungary,Canoe Sprint
Norway,W,Norway,Canoe Sprint
New Zealand,W,New Zealand,Canoe Sprint
Poland,W,Poland,Canoe Sprint
Serbia,W,Serbia,Canoe Sprint
Australia,M,Australia,Cycling Track
Austria,M,Austria,Cycling Track
Belgium,M,Belgium,Cycling Track
Canada,M,Canada,Cycling Track
Czechia,M,Czechia,Cycling Track
Denmark,M,Denmark,Cycling Track
Spain,M,Spain,Cycling Track
France,M,France,Cycling Track
Great Britain,M,Great Britain,Cycling Track
Germany,M,Germany,Cycling Track
Italy,M,Italy,Cycling Track
Japan,M,Japan,Cycling Track
Netherlands,M,Netherlands,Cycling Track
New Zealand,M,New Zealand,Cycling Track
Portugal,M,Portugal,Cycling Track
Australia,M,Australia,Cycling Track
Belgium,M,Belgium,Cycling Track
Canada,M,Canada,Cycling Track
Denmark,M,Denmark,Cycling Track
