name,gender,disciplines,country
GERBEKOV Askerbii,Male,['Judo'],Bahrain
CISSE Arthur,Male,['Athletics'],Côte d'Ivoire
KONE Maboundou,Female,['Athletics'],Côte d'Ivoire
NURMATOV Shakhzod,Male,['Rowing'],Uzbekistan
PRAKATEN Anna,Female,['Rowing'],Uzbekistan
SAFAROLIYEV Sobirjon,Male,['Rowing'],Uzbekistan
OLFATI Mahdi,Male,['Artistic Gymnastics'],IR Iran
CHEN Jiexian Stephenie,Female,['Canoe Sprint'],Singapore
MAZZILLI Agustin,Male,['Hockey'],Argentina
MONJA Federico,Male,['Hockey'],Argentina
REY Matias,Male,['Hockey'],Argentina
SANTIAGO Tomas,Male,['Hockey'],Argentina
TARAZONA Santiago,Male,['Hockey'],Argentina
TOSCANI Lucas,Male,['Hockey'],Argentina
VERNICE Agustin,Male,['Canoe Sprint'],Argentina
BROWN Janeek,Female,['Athletics'],Jamaica
MOLINA Gonzalo Nahuel,Male,['Cycling BMX Racing'],Argentina
VILLEGAS Federico Emiliano,Male,['Cycling BMX Racing'],Argentina
CAMERON Lloydricia,Female,['Athletics'],Jamaica
PERINCHIEF Jah-Nhai,Male,['Athletics'],Bermuda
CLAYTON Rushell,Female,['Athletics'],Jamaica
DUFFY Flora,Female,['Triathlon'],Bermuda
FIRFIRICA Alin Alexandru,Male,['Athletics'],Romania
GHELBER Bianca Florentina,Female,['Athletics'],Romania
ION Diana Ana Maria,Female,['Athletics'],Romania
MELLY Joan Chelimo,Female,['Athletics'],Romania
MERINGOR Delvine Relin,Female,['Athletics'],Romania
MIKLOS Andrea,Female,['Athletics'],Romania
NOVAC Alexandru Mihaita,Male,['Athletics'],Romania
PRANNOY H. S,Male,['Badminton'],India
RANKIREDDY Satwiksairaj,Male,['Badminton'],India
SHETTY Chirag,Male,['Badminton'],India
BERTEMES Bob,Male,['Athletics'],Luxembourg
PUSARLA V. Sindhu,Female,['Badminton'],India
AGARWALLA Anush,Male,['Equestrian'],India
CRASTO Tanisha,Female,['Badminton'],India
PONNAPPA Ashwini,Female,['Badminton'],India
ROTARU-KOTTMANN Alina,Female,['Athletics'],Romania
RUTTO Stella,Female,['Athletics'],Romania
STANCIU Daniela,Female,['Athletics'],Romania
TALOS Elena Andreea,Female,['Athletics'],Romania
TOADER Andrei Rares,Male,['Athletics'],Romania
GOMES Filipe,Male,['Swimming'],Malawi
OCAMPO Daiana,Female,['Athletics'],Argentina
ARCHIBALD Emanuel,Male,['Athletics'],Guyana
ABRAMS Aliyah,Female,['Athletics'],Guyana
NOEL Raekwon Jibril,Male,['Swimming'],Guyana
PERSAUD Aleka Kylela,Female,['Swimming'],Guyana
ALLERS-LIBURD Zahria,Female,['Athletics'],St Kitts and Nevis
TRAORE Cheickna,Male,['Athletics'],Côte d'Ivoire
TIE Whitney,Female,['Athletics'],Côte d'Ivoire
SIDHU Vijayveer,Male,['Shooting'],India
TOMAR Aishwary Pratap Singh,Male,['Shooting'],India
NARUKA Anant Jeet Singh,Male,['Shooting'],India
ANISH Anish,Male,['Shooting'],India
BABUTA Arjun,Male,['Shooting'],India
CHEEMA Arjun Singh,Male,['Shooting'],India
BOUSHITA Abderrahmane,Male,['Judo'],Morocco
SINGH Sandee,Male,['Shooting'],India
SAMRA Sift Kaur,Female,['Shooting'],India
SINGH Esha,Female,['Shooting'],India
RAMITA Ramita,Female,['Shooting'],India
KUMARI Rajeshwari,Female,['Shooting'],India
SANGWAN Rhythm,Female,['Shooting'],India
SEN Lakshya,Male,['Badminton'],India
di TELLA Pascual Maria,Male,['Fencing'],Argentina
DARRAGH Rachael,Female,['Badminton'],Ireland
McNULTY Harry,Male,['Rugby Sevens'],Ireland
MOLLEN Bryan,Male,['Rugby Sevens'],Ireland
KENNEDY Terry,Male,['Rugby Sevens'],Ireland
WALSH Grainne,Female,['Boxing'],Ireland
PASSMORE Jake,Male,['Diving'],Ireland
HEALY Sarah,Female,['Athletics'],Ireland
