name,gender,discipline,country,medal_type
Tato GRIGALASHVILI,M,Judo,Georgia,Silver Medal
LEE Joonhwan,M,Judo,Korea,Bronze Medal
Somon MAKHMADBEKOV,M,Judo,Tajikistan,Bronze Medal
Andreja LESKI,W,Judo,Slovenia,Gold Medal
Prisca AWITI ALCARAZ,W,Judo,Mexico,Silver Medal
Clarisse AGBEGNENOU,W,Judo,France,Bronze Medal
Laura FAZLIU,W,Judo,Kosovo,Bronze Medal
New Zealand,W,Rugby Sevens,New Zealand,Gold Medal
Canada,W,Rugby Sevens,Canada,Silver Medal
United States,W,Rugby Sevens,United States,Bronze Medal
Serbia,X,Shooting,Serbia,Gold Medal
Türkiye 2,X,Shooting,Türkiye,Silver Medal
India 1,X,Shooting,India,Bronze Medal
Nathan HALES,M,Shooting,Great Britain,Gold Medal
QI Ying,M,Shooting,China,Silver Medal
Jean Pierre BROL CARDENAS,M,Shooting,Guatemala,Bronze Medal
Great Britain,M,Swimming,Great Britain,Gold Medal
United States,M,Swimming,United States,Silver Medal
Australia,M,Swimming,Australia,Bronze Medal
Daniel WIFFEN,M,Swimming,Ireland,Gold Medal
Bobby FINKE,M,Swimming,United States,Silver Medal
Gregorio PALTRINIERI,M,Swimming,Italy,Bronze Medal
Kaylee McKEOWN,W,Swimming,Australia,Gold Medal
Regan SMITH,W,Swimming,United States,Silver Medal
Katharine BERKOFF,W,Swimming,United States,Bronze Medal
WANG/SUN,X,Table Tennis,China,Gold Medal
RI/KIM,X,Table Tennis,DPR Korea,Silver Medal
LIM/SHIN,X,Table Tennis,Korea,Bronze Medal
OKA Shinnosuke,M,Artistic Gymnastics,Japan,Gold Medal
ZHANG Boheng,M,Artistic Gymnastics,China,Silver Medal
XIAO Ruoteng,M,Artistic Gymnastics,China,Bronze Medal
Jessica FOX,W,Canoe Slalom,Australia,Gold Medal
Elena LILIK,W,Canoe Slalom,Germany,Silver Medal
Evy LEIBFARTH,W,Canoe Slalom,United States,Bronze Medal
Jose TORRES GIL,M,Cycling BMX Freestyle,Argentina,Gold Medal
Kieran Darren David REILLY,M,Cycling BMX Freestyle,Great Britain,Silver Medal
Anthony JEANJEAN,M,Cycling BMX Freestyle,France,Bronze Medal
DENG Yawen,W,Cycling BMX Freestyle,China,Gold Medal
Perris BENEGAS,W,Cycling BMX Freestyle,United States,Silver Medal
Natalya DIEHM,W,Cycling BMX Freestyle,Australia,Bronze Medal
China,W,Diving,China,Gold Medal
DPR Korea,W,Diving,DPR Korea,Silver Medal
Great Britain,W,Diving,Great Britain,Bronze Medal
Korea,M,Fencing,Korea,Gold Medal
