name,gender,discipline,country,medal_type
Esther HENSELEIT,W,Golf,Germany,Silver Medal
LIN Xiyu Janet,W,Golf,China,Bronze Medal
Norway,W,Handball,Norway,Gold Medal
France,W,Handball,France,Silver Medal
Denmark,W,Handball,Denmark,Bronze Medal
Ahmed ELGENDY,M,Modern Pentathlon,Egypt,Gold Medal
SATO Taishu,M,Modern Pentathlon,Japan,Silver Medal
Giorgio MALAN,M,Modern Pentathlon,Italy,Bronze Medal
Janja GARNBRET,W,Sport Climbing,Slovenia,Gold Medal
Brooke RABOUTOU,W,Sport Climbing,United States,Silver Medal
Jessica PILZ,W,Sport Climbing,Austria,Bronze Medal
China,W,Table Tennis,China,Gold Medal
Japan,W,Table Tennis,Japan,Silver Medal
Korea,W,Table Tennis,Korea,Bronze Medal
Arian SALIMI,M,Taekwondo,IR Iran,Gold Medal
Caden CUNNINGHAM,M,Taekwondo,Great Britain,Silver Medal
Rafael ALBA,M,Taekwondo,Cuba,Bronze Medal
Cheick Sallah CISSE,M,Taekwondo,Côte d'Ivoire,Bronze Medal
Althea LAURIN,W,Taekwondo,France,Gold Medal
Svetlana OSIPOVA,W,Taekwondo,Uzbekistan,Silver Medal
LEE Dabin,W,Taekwondo,Korea,Bronze Medal
Nafia KUS AYDIN,W,Taekwondo,Türkiye,Bronze Medal
France,M,Volleyball,France,Gold Medal
Poland,M,Volleyball,Poland,Silver Medal
Brazil,W,Volleyball,Brazil,Bronze Medal
Spain,W,Water Polo,Spain,Gold Medal
Australia,W,Water Polo,Australia,Silver Medal
Netherlands,W,Water Polo,Netherlands,Bronze Medal
Lasha TALAKHADZE,M,Weightlifting,Georgia,Gold Medal
Varazdat LALAYAN,M,Weightlifting,Armenia,Silver Medal
Gor MINASYAN,M,Weightlifting,Bahrain,Bronze Medal
LIU Huanhua,M,Weightlifting,China,Gold Medal
Akbar DJURAEV,M,Weightlifting,Uzbekistan,Silver Medal
Yauheni TSIKHANTSOU,M,Weightlifting,AIN,Bronze Medal
Solfrid Eila Amena KOANDA,W,Weightlifting,Norway,Gold Medal
Sara AHMED,W,Weightlifting,Egypt,Silver Medal
Neisi Patricia DAJOMES BARRERA,W,Weightlifting,Ecuador,Bronze Medal
Geno PETRIASHVILI,M,Wrestling,Georgia,Gold Medal
Amir Hossein ZARE,M,Wrestling,IR Iran,Silver Medal
Taha AKGUL,M,Wrestling,Türkiye,Bronze Medal
Giorgi MESHVILDISHVILI,M,Wrestling,Azerbaijan,Bronze Medal
Razambek Salambekovitch JAMALOV,M,Wrestling,Uzbekistan,Gold Medal
TAKATANI Daichi,M,Wrestling,Japan,Silver Medal
Kyle Douglas DAKE,M,Wrestling,United States,Bronze Medal
Chermen VALIEV,M,Wrestling,Albania,Bronze Medal
MOTOKI Sakura,W,Wrestling,Japan,Gold Medal
Iryna KOLIADENKO,W,Wrestling,Ukraine,Silver Medal
Aisuluu TYNYBEKOVA,W,Wrestling,Kyrgyzstan,Bronze Medal
Grace Jacob BULLEN,W,Wrestling,Norway,Bronze Medal
Sifan HASSAN,W,Athletics,Netherlands,Gold Medal
Tigst ASSEFA,W,Athletics,Ethiopia,Silver Medal
Hellen OBIRI,W,Athletics,Kenya,Bronze Medal
United States,W,Basketball,United States,Gold Medal
France,W,Basketball,France,Silver Medal
Australia,W,Basketball,Australia,Bronze Medal
Harrie LAVREYSEN,M,Cycling Track,Netherlands,Gold Medal
Matthew RICHARDSON,M,Cycling Track,Australia,Silver Medal
Matthew GLAETZER,M,Cycling Track,Australia,Bronze Medal
Jennifer VALENTE,W,Cycling Track,United States,Gold Medal
Daria PIKULIK,W,Cycling Track,Poland,Silver Medal
Ally WOLLASTON,W,Cycling Track,New Zealand,Bronze Medal
Ellesse ANDREWS,W,Cycling Track,New Zealand,Gold Medal
Lea FRIEDRICH,W,Cycling Track,Germany,Silver Medal
Emma FINUCANE,W,Cycling Track,Great Britain,Bronze Medal
Denmark,M,Handball,Denmark,Gold Medal
Germany,M,Handball,Germany,Silver Medal
Spain,M,Handball,Spain,Bronze Medal
Michelle GULYAS,W,Modern Pentathlon,Hungary,Gold Medal
Elodie CLOUVEL,W,Modern Pentathlon,France,Silver Medal
SEONG Seungmin,W,Modern Pentathlon,Korea,Bronze Medal
Italy,W,Volleyball,Italy,Gold Medal
United States,W,Volleyball,United States,Silver Medal
Serbia,M,Water Polo,Serbia,Gold Medal
Croatia,M,Water Polo,Croatia,Silver Medal
United States,M,Water Polo,United States,Bronze Medal
LI Wenwen,W,Weightlifting,China,Gold Medal
PARK Hyejeong,W,Weightlifting,Korea,Silver Medal
Emily CAMPBELL,W,Weightlifting,Great Britain,Bronze Medal
KIYOOKA Kotaro,M,Wrestling,Japan,Gold Medal
Rahman AMOUZADKHALILI,M,Wrestling,IR Iran,Silver Medal
Sebastian C RIVERA,M,Wrestling,Puerto Rico,Bronze Medal
Islam DUDAEV,M,Wrestling,Albania,Bronze Medal
Akhmed TAZHUDINOV,M,Wrestling,Bahrain,Gold Medal
Givi MATCHARASHVILI,M,Wrestling,Georgia,Silver Medal
Magomedkhan MAGOMEDOV,M,Wrestling,Azerbaijan,Bronze Medal
Amirali AZARPIRA,M,Wrestling,IR Iran,Bronze Medal
KAGAMI Yuka,W,Wrestling,Japan,Gold Medal
Kennedy Alexis BLADES,W,Wrestling,United States,Silver Medal
Milaimy de la Carid. MARIN POTRILLE,W,Wrestling,Cuba,Bronze Medal
Tatiana RENTERIA RENTERIA,W,Wrestling,Colombia,Bronze Medal
People's Republic of China,W,Rhythmic Gymnastics,China,Gold Medal
Israel,W,Rhythmic Gymnastics,Israel,Silver Medal
Italy,W,Rhythmic Gymnastics,Italy,Bronze Medal
VARFOLOMEEV Darja,W,Rhythmic Gymnastics,Germany,Gold Medal
KALEYN Boryana,W,Rhythmic Gymnastics,Bulgaria,Silver Medal
RAFFAELI Sofia,W,Rhythmic Gymnastics,Italy,Bronze Medal
THIAM Nafissatou,W,Athletics,Belgium,Gold Medal
JOHNSON-THOMPSON Katarina,W,Athletics,Great Britain,Silver Medal
VIDTS Noor,W,Athletics,Belgium,Bronze Medal
